,formula,spacegroup
862,Tb2C3,I-43d
863,Tb2C,R-3m
864,TbC2,I4/mmm
865,Dy4C5,Pbam
866,Dy3C4,P4/mnc
867,Dy2C,R-3m
868,Dy2C3,I-43d
869,DyC2,I4/mmm
870,Ho4C5,Pbam
871,Ho3C4,P4/mnc
872,Ho15C19,P-42_1c
873,Ho2C,R-3m
874,Ho4C7,P2_1/c
875,Ho2C3,I-43d
876,HoC2,I4/mmm
877,Er3C4,P4/mnc
878,Er15C19,P4/mnc
879,Er2C,R-3m
880,Er4C7,P2_1/c
881,Er2C3,I-43d
882,ErC2,I4/mmm
883,Tm3C4,P4/mnc
884,Tm15C19,P4/mnc
885,Tm2C,R-3m
886,Tm2C3,I-43d
887,TmC2,I4/mmm
888,Yb2C3,I-43d
889,YbC6,P6_3/mmc
890,YbC2,I4/mmm
891,Lu3C4,P4/mnc
892,Lu2C,R-3m
893,Lu15C19,P4/mnc
894,Lu4C7,P2_1/c
895,Lu2C3,I-43d
896,LuC2,I4/mmm
897,HfC,Fm-3m
898,HfC,P6_3/mmc
899,HfC,F-43m
900,HfC,P-6m2
901,Ta2C,P-3m1
902,Ta3C2,P-3m1
903,TaC,Fm-3m
904,Ta4C3,R3m
905,Ta4C3,Pm-3m
906,TaC,P-6m2
907,TaC,F-43m
908,WC,P-6m2
909,W2C,Pbcn
910,W2C,Pnnm
911,W9C4,R32
912,Re2C,P6_3/mmc
913,ThC,Fm-3m
914,Th4C3,R-3m
915,Th2C3,I-43d
916,Th5C4,R-3m
917,ThC2,C2/c
918,Th5C,R-3m
919,PaC,Fm-3m
920,PaC2,I4/mmm
921,UC,Fm-3m
922,U2C3,I-43d
923,UC2,I4/mmm
924,Pu2C3,I-43d
925,NaN3,R-3m
926,NaN3,C2/m
927,NaN3,R3m
928,NaN3,Cm
929,NaN3,C2
930,NaN,Fddd
931,Mg3N2,Ia-3
932,AlN,P6_3mc
933,AlN,F-43m
934,AlN,P6_3/mmc
935,AlN,Fm-3m
936,KN3,I4/mcm
937,Ca3N2,Ia-3
938,Ca3N2,R-3c
939,Ca3N2,Pbcn
940,Ca3N2,C2/m
941,Ca2N,R-3m
942,Ca3N2,P-3m1
943,CaN2,I4/mmm
944,Ca3N2,P6_3/mmc
945,Ca11N8,P4_2/mnm
946,CaN6,Fddd
947,CaN,Fm-3m
948,Ca3N2,Pm-3m
949,ScN,Fm-3m
950,Sc39N34,P-3m1
951,ScN,F-43m
952,ScN,Pm-3m
953,TiN,Fm-3m
954,TiN,R3m
955,Ti3N2,R-3c
956,TiN,F-43m
957,Ti8N5,P-4m2
958,Ti3N4,Pnma
959,Ti3N4,P31c
960,Ti3N2,P6_3/mmc
961,Ti3N4,I4/mmm
962,Ti2N,P4_2/mnm
963,Ti2N,I4_1/amd
964,Ti19N25,R-3m
965,TiN,Pm-3m
966,TiN2,I4/mcm
967,VN,P-6m2
968,VN,P6_3/mmc
969,VN,P2_1/m
970,VN,Fm-3m
971,V4N3,I4/mmm
972,V2N,P-31m
973,V4N3,R-3m
974,VN,F-43m
975,V2N3,P-3m1
976,V3N4,P6_3/m
977,VN,Pm-3m
978,V8N,P4_2/mnm
979,V32N3,P2/m
980,CrN,P-6m2
981,CrN,F-43m
982,CrN,Fm-3m
983,Cr3N2,R-3c
984,Cr3N2,C2/m
985,Cr3N4,P6_3/m
986,Cr2N,P-31m
